Order ID,Returned,Return Reason,Sales,Return Date,Refund Amount,Return Channel
CA-2012-167374,Yes,Late Delivery,17,26-08-26,12.11852021049561,Store
CA-2012-167374,Yes,Late Delivery,40,12-09-26,30.837215612437614,Online
IN-2011-67616,Yes,Customer Dissatisfaction,684,05-09-26,552.4886324657099,Online
IN-2011-67616,Yes,Customer Dissatisfaction,198,28-08-26,169.61998203525874,Online
IN-2011-67616,Yes,Customer Dissatisfaction,136,26-08-26,107.79185003025356,Customer Service
IN-2011-67616,Yes,Customer Dissatisfaction,342,21-09-26,334.3960867919321,Store
IN-2011-67616,Yes,Customer Dissatisfaction,160,29-08-26,148.1195060038316,Online
RO-2014-3800,Yes,Late Delivery,46,31-08-26,28.428954635021093,Customer Service
RO-2014-3800,Yes,Late Delivery,55,07-09-26,46.30581647296955,Online
RO-2014-3800,Yes,Late Delivery,18,13-09-26,11.836520159159175,Customer Service
IT-2014-5630655,Yes,Late Delivery,34,17-09-26,17.88520640079042,Customer Service
US-2012-130519,Yes,Damaged,56,28-08-26,55.68487944218669,Customer Service
US-2012-130519,Yes,Damaged,16,26-08-26,10.591535603421036,Online
US-2012-130519,Yes,Damaged,16,14-09-26,15.883355015863343,Customer Service
US-2012-130519,Yes,Damaged,25,27-08-26,17.943263188634663,Online
EZ-2013-9740,Yes,Wrong Item,91,19-09-26,46.45698581915066,Online
EZ-2013-9740,Yes,Wrong Item,13,31-08-26,9.380404976,Online
EZ-2013-9740,Yes,Wrong Item,8,02-09-26,6.922469501651498,Store
EZ-2013-9740,Yes,Wrong Item,911,16-09-26,809.3192085,Store
AU-2011-3990,Yes,Damaged,21,08-09-26,18.407774042884952,Customer Service
AU-2011-3990,Yes,Damaged,28,08-09-26,14.047743711887822,Customer Service
AU-2011-3990,Yes,Damaged,493,12-09-26,336.02715363552517,Online
NI-2012-5980,Yes,Damaged,51,27-08-26,26.897607614529772,Customer Service
NI-2012-5980,Yes,Damaged,81,31-08-26,41.64354835803273,Store
NI-2012-5980,Yes,Damaged,53,10-09-26,30.18135304546257,Online
NI-2012-5980,Yes,Damaged,9,03-09-26,5.170066884246988,Store
NI-2012-5980,Yes,Damaged,7,27-08-26,4.448527917897728,Store
US-2012-122658,Yes,Damaged,6,12-09-26,5.1230332316779075,Customer Service
US-2012-122658,Yes,Damaged,2,11-09-26,1.1488883878644374,Online
US-2012-122658,Yes,Damaged,117,17-09-26,71.88552337709359,Online
US-2012-122658,Yes,Damaged,36,25-08-26,20.269680755228535,Store
US-2012-122658,Yes,Damaged,27,12-09-26,20.49260827308378,Store
US-2012-122658,Yes,Damaged,93,06-09-26,56.918067148055215,Customer Service
US-2012-122658,Yes,Damaged,57,18-09-26,30.670718452324135,Store
US-2012-122658,Yes,Damaged,19,04-09-26,15.511411611400156,Online
US-2012-122658,Yes,Damaged,82,11-09-26,45.60262394056528,Store
US-2014-152492,Yes,Wrong Item,180,14-09-26,171.51251763294925,Customer Service
US-2014-152492,Yes,Wrong Item,513,28-08-26,321.69547800066647,Store
US-2014-152492,Yes,Wrong Item,109,23-09-26,99.09158232074425,Store
US-2014-152492,Yes,Wrong Item,73,29-08-26,48.55691706079547,Store
US-2014-152492,Yes,Wrong Item,239,05-09-26,238.59728016487688,Online
IT-2011-3157915,Yes,Wrong Item,60,29-08-26,53.03428852973739,Online
IN-2013-53819,Yes,Customer Dissatisfaction,61,28-08-26,34.43224573361178,Customer Service
IN-2013-53819,Yes,Customer Dissatisfaction,23,16-09-26,15.575052142164859,Store
IN-2013-53819,Yes,Customer Dissatisfaction,180,27-08-26,178.1921397446538,Customer Service
IN-2013-53819,Yes,Customer Dissatisfaction,683,17-09-26,368.6749125739062,Store
ES-2011-2677554,Yes,Damaged,251,18-09-26,149.43347384581165,Customer Service
ES-2011-2677554,Yes,Damaged,144,22-09-26,99.41642781442317,Online
MX-2013-104003,Yes,Customer Dissatisfaction,27,11-09-26,17.83868842534439,Customer Service
MX-2013-104003,Yes,Customer Dissatisfaction,226,16-09-26,184.6750060604565,Online
CA-2014-129567,Yes,Wrong Item,17,10-09-26,11.81346539463789,Store
IN-2014-41016,Yes,Damaged,8,19-09-26,5.724431610550861,Customer Service
IN-2014-41016,Yes,Damaged,84,28-08-26,70.19904879412056,Online
ID-2012-12519,Yes,Customer Dissatisfaction,109,31-08-26,82.69552467744748,Online
ID-2012-12519,Yes,Customer Dissatisfaction,15,09-09-26,8.600234188437996,Online
ID-2012-12519,Yes,Customer Dissatisfaction,11,02-09-26,10.167113743488663,Online
ID-2012-12519,Yes,Customer Dissatisfaction,21,03-09-26,20.18717771,Online
ID-2012-12519,Yes,Customer Dissatisfaction,18,25-08-26,9.495738671709233,Store
ID-2012-12519,Yes,Customer Dissatisfaction,137,28-08-26,98.48650021036528,Online
IN-2012-68561,Yes,Late Delivery,87,02-09-26,71.66829178,Online
IN-2012-68561,Yes,Late Delivery,428,08-09-26,394.1585746,Store
MO-2014-890,Yes,Damaged,43,03-09-26,32.037238128152545,Customer Service
MO-2014-890,Yes,Damaged,50,21-09-26,41.416332,Online
MO-2014-890,Yes,Damaged,6,20-09-26,5.186381268250506,Store
MO-2014-890,Yes,Damaged,101,31-08-26,100.58513891766775,Online
MO-2014-890,Yes,Damaged,27,12-09-26,26.58448013,Store
MO-2014-890,Yes,Damaged,245,03-09-26,164.67049269450993,Customer Service
IV-2012-3380,Yes,Late Delivery,15,29-08-26,12.094408819805961,Customer Service
ID-2011-77192,Yes,Wrong Item,568,04-09-26,325.72607089771213,Store
ID-2011-77192,Yes,Wrong Item,10,30-08-26,8.789626518010557,Store
ID-2011-77192,Yes,Wrong Item,44,04-09-26,41.32879276642906,Online
US-2012-109470,Yes,Wrong Item,62,07-09-26,34.51402622163812,Online
US-2012-109470,Yes,Wrong Item,52,21-09-26,40.77954526382977,Store
CA-2011-134278,Yes,Damaged,560,14-09-26,475.6450183894077,Online
NI-2013-7280,Yes,Late Delivery,14,31-08-26,7.151044304132535,Customer Service
NI-2013-7280,Yes,Late Delivery,28,23-09-26,24.603613086861266,Customer Service
IN-2011-67651,Yes,Wrong Item,2540,26-08-26,2479.5356042994704,Store
US-2013-105543,Yes,Late Delivery,166,15-09-26,103.77051186661795,Customer Service
MX-2014-128531,Yes,Wrong Item,95,06-09-26,89.72483845871933,Customer Service
MX-2014-128531,Yes,Wrong Item,21,22-09-26,14.460155592831983,Online
CA-2011-150518,Yes,Late Delivery,221,21-09-26,111.81909397773043,Store
CA-2011-150518,Yes,Late Delivery,282,26-08-26,273.38699726256095,Customer Service
ID-2014-10321,Yes,Customer Dissatisfaction,31,21-09-26,29.924991216684283,Online
ID-2014-10321,Yes,Customer Dissatisfaction,58,28-08-26,31.419118935190735,Store
ES-2013-3667448,Yes,Wrong Item,269,31-08-26,152.5687801195149,Online
ES-2013-3667448,Yes,Wrong Item,149,29-08-26,147.3092499628284,Store
ES-2013-3667448,Yes,Wrong Item,3422,19-09-26,2317.0707835145213,Customer Service
ES-2013-3667448,Yes,Wrong Item,251,18-09-26,138.07879449326919,Online
CA-2011-130155,Yes,Late Delivery,34,06-09-26,30.990798124711286,Store
MX-2014-121552,Yes,Damaged,30,25-08-26,16.90344083228129,Customer Service
MX-2014-121552,Yes,Damaged,178,23-09-26,116.91289754434028,Store
MX-2014-121552,Yes,Damaged,18,13-09-26,14.762539473676933,Store
CA-2013-168557,Yes,Damaged,9,06-09-26,5.498603985,Store
MX-2012-101763,Yes,Late Delivery,14,27-08-26,13.387519792872716,Store
MX-2012-101763,Yes,Late Delivery,103,27-08-26,72.07994553599168,Customer Service
MX-2012-101763,Yes,Late Delivery,241,05-09-26,175.1540385953882,Customer Service
US-2013-168074,Yes,Damaged,237,13-09-26,171.8401047760913,Store
US-2013-168074,Yes,Damaged,197,04-09-26,162.1229564990695,Online
MX-2013-106929,Yes,Wrong Item,256,03-09-26,147.99747651756994,Online
MX-2013-106929,Yes,Wrong Item,12,27-08-26,6.818693667971304,Customer Service
MX-2013-106929,Yes,Wrong Item,59,25-08-26,56.36385538,Store
RS-2014-5930,Yes,Damaged,109,14-09-26,66.27612068020773,Online
RS-2014-5930,Yes,Damaged,27,26-08-26,26.435565034552067,Store
RS-2014-5930,Yes,Damaged,13,26-08-26,9.420550298,Online
RS-2014-5930,Yes,Damaged,114,05-09-26,90.55137928464326,Online
RS-2014-5930,Yes,Damaged,45,06-09-26,31.256970227468234,Store
RS-2014-5930,Yes,Damaged,152,06-09-26,97.58810445215899,Customer Service
RS-2014-5930,Yes,Damaged,190,13-09-26,151.01099351231662,Customer Service
RS-2014-5930,Yes,Damaged,827,19-09-26,760.0529611894701,Store
SO-2011-3360,Yes,Late Delivery,11,29-08-26,10.960574611014144,Online
SO-2011-3360,Yes,Late Delivery,21,05-09-26,13.859721359704235,Customer Service
IN-2012-76142,Yes,Late Delivery,514,20-09-26,355.55226241134744,Customer Service
IN-2012-76142,Yes,Late Delivery,642,16-09-26,441.1972633291173,Online
IN-2014-30852,Yes,Damaged,49,14-09-26,27.879232128405015,Customer Service
IN-2014-30852,Yes,Damaged,484,31-08-26,436.4279582831424,Online
IN-2014-30852,Yes,Damaged,50,03-09-26,42.53097855392339,Online
MX-2012-153500,Yes,Wrong Item,17,29-08-26,16.29723847,Store
MX-2012-153500,Yes,Wrong Item,221,27-08-26,118.9507322385501,Online
CA-2013-145583,Yes,Wrong Item,12,25-08-26,9.966586223989616,Customer Service
CA-2013-145583,Yes,Wrong Item,4,26-08-26,3.5898490071982083,Online
CA-2013-145583,Yes,Wrong Item,66,21-09-26,47.74620699753625,Customer Service
CA-2013-145583,Yes,Wrong Item,35,13-09-26,30.80463083,Store
CA-2013-145583,Yes,Wrong Item,20,06-09-26,15.221202857264867,Store
CA-2013-145583,Yes,Wrong Item,43,18-09-26,27.253684352169852,Customer Service
CA-2013-145583,Yes,Wrong Item,76,19-09-26,70.46441490454049,Store
ES-2013-1521931,Yes,Wrong Item,31,26-08-26,28.329346423602573,Store
ES-2013-1521931,Yes,Wrong Item,94,12-09-26,81.58101218,Store
ES-2013-1521931,Yes,Wrong Item,101,28-08-26,74.68915254695864,Customer Service
ES-2013-1521931,Yes,Wrong Item,27,08-09-26,24.368259437446554,Store
ES-2013-1521931,Yes,Wrong Item,199,21-09-26,180.4477938183812,Online
ES-2013-1521931,Yes,Wrong Item,163,01-09-26,132.3779351,Online
ES-2013-1521931,Yes,Wrong Item,1504,15-09-26,995.7391019324772,Store
ES-2013-1521931,Yes,Wrong Item,637,20-09-26,429.9795917,Online
ES-2013-1521931,Yes,Wrong Item,98,08-09-26,96.63231414512327,Online
CA-2014-133235,Yes,Wrong Item,272,31-08-26,190.50248910951032,Online
ID-2012-39875,Yes,Late Delivery,97,05-09-26,69.25327123052641,Online
ID-2012-39875,Yes,Late Delivery,1760,11-09-26,1303.7097083311028,Online
