order_id,product_id,quantity,unit_price,total_price
1,17,2,415.55,831.1
1,25,1,361.41,361.41
1,14,3,68.47,205.41
2,2,3,215.84,647.52
2,24,4,471.33,1885.32
2,12,3,211.85,635.55
3,3,4,192.07,768.28
3,18,3,299.91,899.73
3,13,4,73.17,292.68
4,23,3,374.81,1124.43
5,11,1,471.73,471.73
6,13,2,73.17,146.34
7,2,4,215.84,863.36
7,11,2,471.73,943.46
7,15,1,234.0,234.0
8,24,4,471.33,1885.32
9,21,3,120.53,361.59
10,2,1,215.84,215.84
11,14,3,68.47,205.41
11,12,2,211.85,423.7
12,4,2,64.14,128.28
13,19,4,277.49,1109.96
14,18,1,299.91,299.91
14,24,4,471.33,1885.32
15,22,4,248.4,993.6
16,5,4,108.06,432.24
17,17,2,415.55,831.1
17,6,3,73.81,221.43
18,23,1,374.81,374.81
18,24,3,471.33,1413.99
18,8,4,468.14,1872.56
19,19,1,277.49,277.49
19,9,3,494.58,1483.74
19,18,1,299.91,299.91
19,4,3,64.14,192.42
19,12,1,211.85,211.85
20,22,3,248.4,745.2
20,17,4,415.55,1662.2
21,13,1,73.17,73.17
21,10,3,457.75,1373.25
21,9,2,494.58,989.16
22,26,3,453.26,1359.78
23,10,4,457.75,1831.0
23,1,3,199.87,599.61
23,11,3,471.73,1415.19
24,15,3,234.0,702.0
24,4,3,64.14,192.42
25,26,2,453.26,906.52
26,23,2,374.81,749.62
26,10,3,457.75,1373.25
27,1,4,199.87,799.48
27,14,1,68.47,68.47
28,22,2,248.4,496.8
28,10,1,457.75,457.75
28,20,2,380.42,760.84
28,6,2,73.81,147.62
28,13,3,73.17,219.51
29,25,4,361.41,1445.64
30,25,2,361.41,722.82
31,9,3,494.58,1483.74
32,20,1,380.42,380.42
32,27,2,231.99,463.98
33,4,3,64.14,192.42
34,7,2,77.21,154.42
34,1,4,199.87,799.48
35,12,1,211.85,211.85
35,24,4,471.33,1885.32
35,9,4,494.58,1978.32
35,17,2,415.55,831.1
35,16,4,198.73,794.92
35,6,3,73.81,221.43
35,15,1,234.0,234.0
35,28,2,93.59,187.18
36,1,3,199.87,599.61
37,5,4,108.06,432.24
37,19,2,277.49,554.98
37,24,4,471.33,1885.32
37,27,4,231.99,927.96
38,5,3,108.06,324.18
39,16,2,198.73,397.46
39,2,3,215.84,647.52
39,8,1,468.14,468.14
39,20,3,380.42,1141.26
40,12,2,211.85,423.7
41,16,2,198.73,397.46
42,12,3,211.85,635.55
42,16,2,198.73,397.46
42,23,4,374.81,1499.24
42,15,2,234.0,468.0
43,20,4,380.42,1521.68
44,21,4,120.53,482.12
44,11,2,471.73,943.46
45,9,3,494.58,1483.74
46,28,3,93.59,280.77
46,13,3,73.17,219.51
46,3,3,192.07,576.21
46,27,3,231.99,695.97
47,24,1,471.33,471.33
47,4,1,64.14,64.14
47,21,2,120.53,241.06
48,13,3,73.17,219.51
48,9,2,494.58,989.16
49,7,3,77.21,231.63
50,15,3,234.0,702.0
51,20,4,380.42,1521.68
51,18,1,299.91,299.91
51,10,3,457.75,1373.25
52,10,1,457.75,457.75
53,5,1,108.06,108.06
54,17,3,415.55,1246.65
54,22,1,248.4,248.4
54,28,1,93.59,93.59
54,19,2,277.49,554.98
55,10,1,457.75,457.75
55,2,2,215.84,431.68
55,17,1,415.55,415.55
56,12,1,211.85,211.85
56,24,2,471.33,942.66
56,13,4,73.17,292.68
56,6,4,73.81,295.24
56,17,4,415.55,1662.2
56,19,4,277.49,1109.96
57,17,1,415.55,415.55
57,10,2,457.75,915.5
57,5,1,108.06,108.06
57,25,4,361.41,1445.64
58,2,4,215.84,863.36
58,4,1,64.14,64.14
59,2,1,215.84,215.84
60,10,1,457.75,457.75
61,15,3,234.0,702.0
61,26,2,453.26,906.52
61,21,3,120.53,361.59
61,28,1,93.59,93.59
62,22,2,248.4,496.8
62,28,1,93.59,93.59
63,1,3,199.87,599.61
64,28,4,93.59,374.36
65,23,1,374.81,374.81
65,20,2,380.42,760.84
66,4,1,64.14,64.14
66,18,2,299.91,599.82
67,3,2,192.07,384.14
67,18,2,299.91,599.82
67,28,4,93.59,374.36
68,4,2,64.14,128.28
69,7,1,77.21,77.21
70,19,2,277.49,554.98
70,24,4,471.33,1885.32
71,17,3,415.55,1246.65
72,24,2,471.33,942.66
73,19,3,277.49,832.47
74,2,3,215.84,647.52
75,16,3,198.73,596.19
75,11,4,471.73,1886.92
75,15,3,234.0,702.0
76,3,3,192.07,576.21
77,5,2,108.06,216.12
78,20,1,380.42,380.42
79,14,2,68.47,136.94
80,28,3,93.59,280.77
81,4,4,64.14,256.56
81,9,3,494.58,1483.74
82,20,1,380.42,380.42
83,10,4,457.75,1831.0
84,3,3,192.07,576.21
84,14,4,68.47,273.88
84,17,3,415.55,1246.65
85,15,3,234.0,702.0
85,25,3,361.41,1084.23
85,3,2,192.07,384.14
86,17,4,415.55,1662.2
86,24,3,471.33,1413.99
86,6,4,73.81,295.24
87,3,2,192.07,384.14
88,15,3,234.0,702.0
88,10,1,457.75,457.75
89,3,2,192.07,384.14
89,18,1,299.91,299.91
90,27,4,231.99,927.96
90,1,4,199.87,799.48
90,16,4,198.73,794.92
91,10,2,457.75,915.5
91,11,3,471.73,1415.19
91,14,4,68.47,273.88
91,6,1,73.81,73.81
91,8,2,468.14,936.28
92,14,2,68.47,136.94
92,1,2,199.87,399.74
92,15,2,234.0,468.0
92,8,2,468.14,936.28
93,6,1,73.81,73.81
94,12,1,211.85,211.85
94,16,4,198.73,794.92
94,23,3,374.81,1124.43
95,13,3,73.17,219.51
96,3,4,192.07,768.28
96,16,4,198.73,794.92
96,11,1,471.73,471.73
97,11,4,471.73,1886.92
97,7,4,77.21,308.84
98,4,2,64.14,128.28
98,28,1,93.59,93.59
98,10,1,457.75,457.75
98,11,1,471.73,471.73
99,23,4,374.81,1499.24
99,13,4,73.17,292.68
100,16,4,198.73,794.92
100,2,4,215.84,863.36
100,19,2,277.49,554.98
101,21,2,120.53,241.06
102,13,3,73.17,219.51
103,20,4,380.42,1521.68
103,5,1,108.06,108.06
103,7,2,77.21,154.42
104,24,4,471.33,1885.32
105,6,1,73.81,73.81
106,7,4,77.21,308.84
107,1,1,199.87,199.87
108,19,2,277.49,554.98
109,22,1,248.4,248.4
109,3,2,192.07,384.14
109,23,3,374.81,1124.43
109,10,4,457.75,1831.0
110,3,3,192.07,576.21
110,23,2,374.81,749.62
110,21,2,120.53,241.06
