order_id,user_id,order_date,status,return_reason,refund_amount
32,3628,2020-01-02 07:00:00,Returned,Wrong Item,22.15
77,28,2020-01-04 04:00:00,Returned,Wrong Item,170.95
83,1032,2020-01-04 10:00:00,Returned,Customer Dissatisfaction,149.55
87,854,2020-01-04 14:00:00,Returned,Damaged,22.09
96,5310,2020-01-04 23:00:00,Returned,Late Delivery,90.45
105,1122,2020-01-05 08:00:00,Returned,Late Delivery,170.87
129,8146,2020-01-06 08:00:00,Returned,Late Delivery,128.28
181,5711,2020-01-08 12:00:00,Returned,Damaged,142.82
187,6044,2020-01-08 18:00:00,Returned,Damaged,166.79
189,1730,2020-01-08 20:00:00,Returned,Damaged,186.13
195,3015,2020-01-09 02:00:00,Returned,Late Delivery,14.33
205,1358,2020-01-09 12:00:00,Returned,Customer Dissatisfaction,27.45
213,9774,2020-01-09 20:00:00,Returned,Wrong Item,167.33
229,9496,2020-01-10 12:00:00,Returned,Customer Dissatisfaction,53.01
267,7397,2020-01-12 02:00:00,Returned,Damaged,141.06
268,3851,2020-01-12 03:00:00,Returned,Wrong Item,27.98
315,7870,2020-01-14 02:00:00,Returned,Customer Dissatisfaction,140.94
340,3064,2020-01-15 03:00:00,Returned,Wrong Item,21.36
346,234,2020-01-15 09:00:00,Returned,Wrong Item,143.94
349,1143,2020-01-15 12:00:00,Returned,Customer Dissatisfaction,186.06
351,6650,2020-01-15 14:00:00,Returned,Customer Dissatisfaction,46.04
356,7596,2020-01-15 19:00:00,Returned,Wrong Item,101.93
364,3609,2020-01-16 03:00:00,Returned,Customer Dissatisfaction,143.33
375,9362,2020-01-16 14:00:00,Returned,Customer Dissatisfaction,167.25
405,3428,2020-01-17 20:00:00,Returned,Customer Dissatisfaction,166.8
406,843,2020-01-17 21:00:00,Returned,Late Delivery,165.15
408,3887,2020-01-17 23:00:00,Returned,Customer Dissatisfaction,107.34
414,4004,2020-01-18 05:00:00,Returned,Wrong Item,137.24
421,7769,2020-01-18 12:00:00,Returned,Damaged,8.24
426,1056,2020-01-18 17:00:00,Returned,Damaged,72.24
443,650,2020-01-19 10:00:00,Returned,Damaged,178.65
457,6388,2020-01-20 00:00:00,Returned,Late Delivery,140.43
469,616,2020-01-20 12:00:00,Returned,Wrong Item,133.07
470,6563,2020-01-20 13:00:00,Returned,Customer Dissatisfaction,100.87
476,6019,2020-01-20 19:00:00,Returned,Customer Dissatisfaction,42.01
485,6676,2020-01-21 04:00:00,Returned,Customer Dissatisfaction,193.12
524,3309,2020-01-22 19:00:00,Returned,Damaged,129.44
529,974,2020-01-23 00:00:00,Returned,Damaged,86.71
531,7826,2020-01-23 02:00:00,Returned,Late Delivery,22.28
536,5213,2020-01-23 07:00:00,Returned,Wrong Item,176.25
551,2190,2020-01-23 22:00:00,Returned,Wrong Item,28.47
561,815,2020-01-24 08:00:00,Returned,Customer Dissatisfaction,60.89
563,4977,2020-01-24 10:00:00,Returned,Customer Dissatisfaction,187.69
573,5725,2020-01-24 20:00:00,Returned,Wrong Item,45.66
574,6370,2020-01-24 21:00:00,Returned,Late Delivery,81.74
580,3305,2020-01-25 03:00:00,Returned,Customer Dissatisfaction,21.7
584,6511,2020-01-25 07:00:00,Returned,Damaged,148.93
593,6048,2020-01-25 16:00:00,Returned,Customer Dissatisfaction,90.0
616,6030,2020-01-26 15:00:00,Returned,Damaged,120.74
631,6160,2020-01-27 06:00:00,Returned,Customer Dissatisfaction,164.95
641,3717,2020-01-27 16:00:00,Returned,Damaged,65.48
642,912,2020-01-27 17:00:00,Returned,Customer Dissatisfaction,167.72
649,3503,2020-01-28 00:00:00,Returned,Damaged,109.3
660,8518,2020-01-28 11:00:00,Returned,Damaged,154.41
682,2786,2020-01-29 09:00:00,Returned,Damaged,112.86
703,1124,2020-01-30 06:00:00,Returned,Damaged,131.05
722,5770,2020-01-31 01:00:00,Returned,Wrong Item,29.9
752,6895,2020-02-01 07:00:00,Returned,Late Delivery,115.65
766,7163,2020-02-01 21:00:00,Returned,Late Delivery,20.75
780,2555,2020-02-02 11:00:00,Returned,Customer Dissatisfaction,153.4
782,9286,2020-02-02 13:00:00,Returned,Customer Dissatisfaction,169.65
786,8085,2020-02-02 17:00:00,Returned,Wrong Item,41.86
791,3001,2020-02-02 22:00:00,Returned,Damaged,131.23
830,4076,2020-02-04 13:00:00,Returned,Late Delivery,114.45
866,7423,2020-02-06 01:00:00,Returned,Customer Dissatisfaction,116.43
867,1806,2020-02-06 02:00:00,Returned,Customer Dissatisfaction,48.77
899,8609,2020-02-07 10:00:00,Returned,Customer Dissatisfaction,27.53
903,3508,2020-02-07 14:00:00,Returned,Damaged,149.05
906,7839,2020-02-07 17:00:00,Returned,Wrong Item,82.88
915,4867,2020-02-08 02:00:00,Returned,Wrong Item,25.19
917,6560,2020-02-08 04:00:00,Returned,Wrong Item,39.06
927,9558,2020-02-08 14:00:00,Returned,Customer Dissatisfaction,119.9
959,4344,2020-02-09 22:00:00,Returned,Damaged,119.91
969,176,2020-02-10 08:00:00,Returned,Damaged,113.43
990,1253,2020-02-11 05:00:00,Returned,Wrong Item,175.07
1001,306,2020-02-11 16:00:00,Returned,Customer Dissatisfaction,135.49
1007,5631,2020-02-11 22:00:00,Returned,Customer Dissatisfaction,115.43
1009,9445,2020-02-12 00:00:00,Returned,Wrong Item,193.83
1010,1406,2020-02-12 01:00:00,Returned,Customer Dissatisfaction,68.12
1032,4585,2020-02-12 23:00:00,Returned,Damaged,46.6
1039,6698,2020-02-13 06:00:00,Returned,Wrong Item,42.74
1043,1977,2020-02-13 10:00:00,Returned,Late Delivery,17.92
1055,3109,2020-02-13 22:00:00,Returned,Late Delivery,9.17
1067,3892,2020-02-14 10:00:00,Returned,Damaged,53.77
1070,4400,2020-02-14 13:00:00,Returned,Damaged,79.6
1072,1310,2020-02-14 15:00:00,Returned,Customer Dissatisfaction,22.65
1077,9340,2020-02-14 20:00:00,Returned,Customer Dissatisfaction,26.39
1084,3321,2020-02-15 03:00:00,Returned,Wrong Item,59.66
1087,7977,2020-02-15 06:00:00,Returned,Customer Dissatisfaction,167.54
1100,7590,2020-02-15 19:00:00,Returned,Late Delivery,163.24
1129,2074,2020-02-17 00:00:00,Returned,Damaged,128.59
1130,9759,2020-02-17 01:00:00,Returned,Late Delivery,67.63
1151,7746,2020-02-17 22:00:00,Returned,Customer Dissatisfaction,84.91
1161,8512,2020-02-18 08:00:00,Returned,Damaged,20.79
1166,5611,2020-02-18 13:00:00,Returned,Customer Dissatisfaction,165.47
1173,8754,2020-02-18 20:00:00,Returned,Damaged,24.05
1183,654,2020-02-19 06:00:00,Returned,Damaged,60.34
1213,2455,2020-02-20 12:00:00,Returned,Damaged,143.74
1215,6165,2020-02-20 14:00:00,Returned,Late Delivery,175.02
1220,1107,2020-02-20 19:00:00,Returned,Wrong Item,28.97
1226,1371,2020-02-21 01:00:00,Returned,Customer Dissatisfaction,99.66
1228,7293,2020-02-21 03:00:00,Returned,Damaged,9.87
1241,3369,2020-02-21 16:00:00,Returned,Late Delivery,84.79
1243,3174,2020-02-21 18:00:00,Returned,Wrong Item,137.19
1248,3034,2020-02-21 23:00:00,Returned,Wrong Item,104.04
1270,9233,2020-02-22 21:00:00,Returned,Late Delivery,44.43
1281,2500,2020-02-23 08:00:00,Returned,Damaged,170.13
1289,3783,2020-02-23 16:00:00,Returned,Damaged,92.19
1298,8712,2020-02-24 01:00:00,Returned,Late Delivery,177.69
1300,6915,2020-02-24 03:00:00,Returned,Late Delivery,130.14
1311,9920,2020-02-24 14:00:00,Returned,Late Delivery,64.59
1314,5819,2020-02-24 17:00:00,Returned,Late Delivery,82.82
1325,5925,2020-02-25 04:00:00,Returned,Wrong Item,76.81
1327,4115,2020-02-25 06:00:00,Returned,Late Delivery,27.48
1334,4204,2020-02-25 13:00:00,Returned,Late Delivery,56.56
1353,9585,2020-02-26 08:00:00,Returned,Customer Dissatisfaction,70.13
1354,4008,2020-02-26 09:00:00,Returned,Late Delivery,74.65
1360,6293,2020-02-26 15:00:00,Returned,Late Delivery,28.3
1365,4096,2020-02-26 20:00:00,Returned,Late Delivery,31.54
1386,4577,2020-02-27 17:00:00,Returned,Late Delivery,180.46
1389,634,2020-02-27 20:00:00,Returned,Damaged,63.48
1401,7791,2020-02-28 08:00:00,Returned,Damaged,190.83
1407,6193,2020-02-28 14:00:00,Returned,Customer Dissatisfaction,10.45
1414,4413,2020-02-28 21:00:00,Returned,Damaged,54.59
