supplier_id,supplier_name,country
1,Hudson Supply Co,India
2,Sterling Distribution,Germany
3,Granite Peak Goods,India
4,Liberty Wholesale,Canada
5,Keystone Merchants,India
6,Pinecrest Supply,Canada
7,Summit Ridge Trading,Germany
8,Harborline Imports,US
9,Oak Valley Goods,India
10,Cascade Supply Co,Canada
11,Ironwood Distribution,US
12,Prairie Star Wholesale,Germany
13,Northfield Trading,US
14,Westbrook Supply,India
15,Clearview Merchants,India
16,Lakeshore Goods,US
17,Ridgeway Distribution,Canada
18,Silver Oak Supply,Brazil
19,Bluewater Wholesale,India
20,Cedar Grove Trading,Brazil
21,Fairmont Supply Co,UK
22,Grandview Merchants,US
23,Maple Ridge Goods,US
24,Stonebridge Supply,India
25,Riverbend Wholesale,UK
26,Kingsley Trading,UK
27,Elmwood Distribution,Canada
28,Highpoint Supply Co,Brazil
29,Brookstone Merchants,Brazil
30,Eagle Crest Goods,Germany
31,Parkside Wholesale,Canada
32,Golden Gate Trading,Brazil
33,Millstone Supply,Brazil
34,Valley Forge Distribution,US
35,Windham Merchants,Germany
36,Shoreline Goods,Germany
37,Foxborough Supply,India
38,Beacon Hill Wholesale,UK
39,Heritage Trading Co,Canada
40,Meadowbrook Supply,UK
41,Franklin Goods,US
42,Blackstone Distribution,Brazil
43,White Rock Merchants,Brazil
44,Copperfield Wholesale,India
45,Crestwood Trading,Germany
46,Greenfield Supply Co,Canada
47,Rockwell Goods,Canada
48,Willow Creek Distribution,UK
49,Ashland Merchants,Canada
50,Briarwood Wholesale,Brazil
